Latitude,Longitude
-85.09992780860514,0.001055652508966887
-84.99755141030842,-44.63799853748981
-78.20761544425501,166.3916065046604
-78.14653571907331,166.1855736328957
-78.14595631688475,163.8840218507938
-77.85058146429978,160.9402413619713
-77.67484524907452,162.7612898967398
-77.63605680896069,166.4179188646643
-77.55487586341906,166.1708207095484
-77.51572510523643,161.8907588970499
-77.49928283919611,161.8188263059986
-65.1749574006799,-64.13730831981773
-62.96649931337149,-60.50427181345263
-54.92055849265621,-65.994075996006
-54.87899664076873,-67.75549290616033
-54.83217580686317,-68.34380149179965
-54.79245578979504,-67.5995981702962
-54.78963500151453,-68.26425994706221
-54.78471423321757,-67.68189542759268
-54.71461764630627,-68.05067319546706
-54.36172837292644,-67.7394137182494
-54.35491049923054,-67.62477417215004
-54.33863905082055,-67.22935405673621
-54.33500313559934,-67.86418192462443
-54.27559402974111,-66.73956926477854
-54.27444657231016,-67.0430886533908
-54.26112366364433,-67.19958976561745
-54.25565792991615,-66.8745496379672
-54.24377759278759,-67.78499049076642
-54.18902838932319,-68.12050376441547
-54.17658586129321,-67.69570711308316
-54.16120862729963,-68.3090691299883
-54.12105554599632,-36.66708693110496
-54.11209927965864,-67.29521027749972
-54.04300909488619,-67.34256855948547
-54.03494576800065,-67.69115705120032
-54.00119350684456,-68.59363018027196
-53.95111961426187,-68.21724445219068
-53.94280193153301,-67.49363291902074
-53.92620259117921,-68.06162724041893
-53.91209940466652,-68.384152948251
-53.90196538120453,-67.9325280332297
-53.81802098867765,-67.62986024255886
-53.70975892968426,-68.0761708359757
-53.66854782828356,-68.30663416437282
-53.64179517117856,-68.38397683680287
-53.63636189430637,-70.9467231718822
-53.59328839610234,-67.98421043975458
-53.45602207375762,-68.15356776028743
-53.37593965719636,-70.98372618911311
-53.33024230033093,-68.36867521232578
-53.26268089258919,-70.94730568005023
-53.21823971282526,-68.56999841837661
-53.11882748785651,-68.51901637593707
-53.0426076132082,-68.411520287892
-52.99186509723336,-70.95808193555315
-52.91813865934475,-70.89983068164568
-52.73359589375038,-68.59515841641613
-52.29696395758361,-68.57280752691662
-52.25368373149129,-68.68523934811064
-52.2070515386832,-68.90579072248683
-52.18918413160493,-71.35564969723458
-52.12221530318132,-69.51612661515601
-52.08767731432085,-69.08316180610495
-52.03191125638131,-71.71031433472167
-51.94859434418191,-69.52283851625391
-51.93660542759731,-70.9081377503352
-51.90889831036777,-71.37561289984816
-51.89953232276257,-71.48800609838224
-51.89727043347595,-71.60508019322134
-51.86800150004247,-69.41463216483862
-51.83781559277738,-70.46608926904246
-51.82249958616089,-71.69871880472837
-51.78136048995876,-72.19968590294123
-51.76735119742524,-71.74852254771356
-51.74310215013342,-71.81915366456369
-51.73248794295709,-70.11149109692009
-51.7186381483986,-69.90582456866849
-51.71511787970043,-69.29174487719959
-51.70374249345273,-69.70627150556908
-51.67226523128666,-71.91570401720091
-51.65480351696664,-72.34348777518164
-51.61619114404498,-69.77133656380897
-51.54454980605323,-72.51511050598924
-51.52537816102182,-72.26587115598876
-51.43522766042817,-72.76066988709842
-51.43074684705005,-70.19212762230839
-51.39746745191737,-69.5598737501039
-51.35796296750032,-70.28545887514512
-51.29493956850506,-70.38042996279522
-51.29088705660015,-72.40133233336037
-51.24689855565745,-72.13846492453105
-51.24201321327293,-70.45390274221924
-51.17196044773776,-72.02096291267311
-51.1395579460076,-72.52078589025724
-51.13576710352443,-69.53722352555296
-51.12923114053332,-71.92281596693307
-51.11438446802648,-70.57032792849535
-51.09406078691,-72.56636295134646
-51.0504905622888,-70.8511251894532
-51.04959653683112,-69.54545081494304
-51.02774129029746,-70.92210240241849
-51.00654403849247,-71.185820614632
-50.99710470277122,-73.24535016348577
-50.9850968668261,-69.55434927188679
-50.98263082316615,-72.75298234506786
-50.96544101457408,-71.70788206879048
-50.96067043507765,-71.00099104999094
-50.90066065331018,-71.60163015893123
-50.89408213179828,-71.06502323272942
-50.84207005949103,-70.76580307213352
-50.83176707212584,-71.12000235678013
-50.79782826517414,-69.51317774908425
-50.64231387218197,-71.37930118657414
-50.59505494590195,-70.76609982086988
-50.5765307666776,-71.41839312113188
-50.52775464749082,-70.80475550231655
-50.49673280188423,-72.68941166454904
-50.47066664984954,-72.83302999987484
-50.45037066250799,-72.63413863987466
-50.44584373835531,-70.81435111208673
-50.43673159240242,-71.50235465150854
-50.38850568241353,-72.74074629733823
-50.35443972993276,-71.50703207384156
-50.34143501016042,-73.0108795553652
